Mês;Ano;Valor;Variação Mensal-ipca;Valor 1D;Valor 2D;Valor 3D;Valor 4D
1;2008;17.13836715;0.51;21.9;17.1;16.4;21.0
2;2008;17.38106986;0.44;23.3;17.4;16.5;21.1
3;2008;17.62499527;0.47;25.3;17.6;16.8;21.2
4;2008;18.50282954;0.55;26.9;18.5;17.1;21.5
5;2008;19.47694645;0.7;27.7;19.5;17.4;21.8
6;2008;19.93712474;0.64;27.5;19.9;17.7;22.3
7;2008;20.21698955;0.54;28.5;20.2;17.9;22.6
8;2008;20.08484351;0.48;28.9;20.1;18.2;22.6
9;2008;20.41664839;0.51;29.6;20.4;18.4;22.6
10;2008;20.22914178;0.45;29.6;20.2;18.5;22.7
11;2008;19.89400956;0.31;29.4;19.9;18.6;22.8
12;2008;19.5684298;0.3;29.1;19.6;18.8;22.9
1;2009;19.59735131;0.4;29.0;19.6;18.9;23.1
2;2009;20.05688862;0.48;29.5;20.1;19.1;23.4
3;2009;20.51781807;0.28;30.0;20.5;19.1;23.7
4;2009;21.0300319;0.49;30.1;21.0;19.2;23.8
5;2009;21.22591784;0.48;30.0;21.2;19.3;23.9
6;2009;21.5248671;0.37;30.1;21.5;19.5;24.2
7;2009;21.45581427;0.31;29.9;21.5;19.6;24.4
8;2009;21.42187839;0.23;29.7;21.4;19.7;24.6
9;2009;21.40903862;0.39;29.3;21.4;19.6;24.5
10;2009;21.40500808;0.33;29.4;21.4;19.8;24.8
11;2009;21.45512453;0.4;29.1;21.5;19.9;25.1
12;2009;21.54342797;0.47;28.8;21.5;20.1;25.3
1;2010;21.75616269;0.6;28.3;21.8;20.2;25.4
2;2010;22.16007642;0.47;28.5;22.2;20.4;25.6
3;2010;22.91023385;0.4;29.2;22.9;20.8;25.8
4;2010;23.82431576;0.42;30.4;23.8;21.3;26.2
5;2010;24.52292481;0.57;31.0;24.5;21.6;26.5
6;2010;24.78064163;0.29;31.3;24.8;21.8;26.8
7;2010;24.86831775;0.2;31.5;24.9;22.1;27.2
8;2010;24.92442231;0.19;31.6;24.9;22.2;27.8
9;2010;24.88045885;0.39;31.8;24.9;22.5;28.2
10;2010;24.66724524;0.58;31.6;24.7;22.6;28.4
11;2010;24.74106849;0.66;31.7;24.7;23.0;28.7
12;2010;25.08242712;0.71;32.1;25.1;23.2;29.2
1;2011;25.523506;0.8;32.9;25.5;23.6;29.8
2;2011;26.03096603;0.7;33.8;26.0;23.9;30.0
3;2011;26.54641596;0.7;34.5;26.5;24.4;30.3
4;2011;27.13760812;0.68;35.1;27.1;24.9;30.5
5;2011;27.47335915;0.59;35.6;27.5;25.3;30.9
6;2011;27.79971777;0.42;36.2;27.8;25.6;31.1
7;2011;27.97284671;0.38;36.4;28.0;25.8;31.3
8;2011;28.20565791;0.39;36.9;28.2;26.0;31.5
9;2011;28.06178947;0.51;37.0;28.1;26.2;31.9
10;2011;27.82245941;0.5;37.3;27.8;26.5;32.3
11;2011;27.65815144;0.53;37.1;27.7;26.9;33.1
12;2011;27.98145655;0.54;36.9;28.0;27.4;33.4
1;2012;28.47307944;0.59;37.0;28.5;27.5;33.6
2;2012;28.92770434;0.47;37.5;28.9;27.7;33.9
3;2012;29.31734504;0.26;38.1;29.3;27.9;34.4
4;2012;29.58908857;0.61;38.5;29.6;28.2;34.8
5;2012;29.74169878;0.34;39.1;29.7;28.5;35.2
6;2012;29.67798319;0.07;39.4;29.7;28.7;35.8
7;2012;29.81032142;0.53;39.9;29.8;29.0;35.9
8;2012;30.13670296;0.45;40.1;30.1;29.1;36.5
9;2012;30.53832886;0.51;40.5;30.5;29.3;37.3
10;2012;30.68140904;0.55;40.3;30.7;29.3;38.3
11;2012;30.68234667;0.62;40.5;30.7;29.6;38.4
12;2012;30.69814276;0.67;40.4;30.7;30.0;37.9
1;2013;30.93431313;0.65;41.0;30.9;30.4;38.1
2;2013;31.08613726;0.55;41.2;31.1;30.7;38.4
3;2013;31.27132874;0.46;41.5;31.3;30.9;38.8
4;2013;31.54412564;0.53;41.5;31.5;31.0;38.9
5;2013;31.80033009;0.5;41.4;31.8;31.1;39.1
6;2013;32.02984332;0.43;41.4;32.0;31.2;38.8
7;2013;32.25978695;0.34;41.8;32.3;31.2;38.7
8;2013;32.35835931;0.42;42.3;32.4;31.1;38.8
9;2013;32.44889413;0.46;42.7;32.4;31.2;39.1
10;2013;32.4801991;0.61;43.0;32.5;31.3;40.1
11;2013;32.76643152;0.52;43.3;32.8;31.5;40.8
12;2013;33.05742254;0.79;44.0;33.1;31.5;41.6
1;2014;33.14907819;0.55;44.3;33.1;31.7;41.5
2;2014;33.23532698;0.69;44.4;33.2;31.8;41.1
3;2014;33.32620703;0.59;44.0;33.3;32.0;41.3
4;2014;33.49958848;0.56;43.9;33.5;32.0;41.2
5;2014;33.43913085;0.5;44.3;33.4;32.2;40.9
6;2014;33.48900656;0.61;44.6;33.5;32.3;40.1
7;2014;33.46644071;0.21;45.0;33.5;32.3;39.8
8;2014;33.44568566;0.44;45.0;33.4;32.4;40.3
9;2014;33.2160999;0.57;45.0;33.2;32.3;40.5
10;2014;33.129599;0.44;45.0;33.1;32.3;40.7
11;2014;33.05327104;0.38;45.3;33.1;32.3;40.2
12;2014;33.11902515;0.68;45.9;33.1;32.4;40.0
1;2015;33.18741877;0.83;46.2;33.2;32.5;39.6
2;2015;33.50438215;0.83;46.5;33.5;32.6;40.0
3;2015;33.62500324;0.78;46.6;33.6;32.6;40.0
4;2015;33.6604947;0.74;46.7;33.7;32.5;40.2
5;2015;33.45107697;0.66;46.7;33.5;32.3;39.8
6;2015;33.26353955;0.77;46.4;33.3;32.1;39.5
7;2015;33.05851835;0.63;46.1;33.1;31.7;39.3
8;2015;32.91444671;0.43;45.8;32.9;31.4;39.1
9;2015;32.70296713;0.69;45.3;32.7;31.3;38.9
10;2015;32.563863;0.73;44.8;32.6;31.2;38.7
11;2015;32.29132297;0.71;44.3;32.3;31.1;38.6
12;2015;32.09376076;0.73;44.2;32.1;31.0;38.2
1;2016;31.89962939;0.86;44.0;31.9;30.8;38.0
2;2016;31.91470155;0.78;44.0;31.9;30.8;38.0
3;2016;31.94444634;0.48;44.0;31.9;30.8;38.4
4;2016;31.929201;0.78;44.4;31.9;30.7;38.5
5;2016;31.70948687;0.81;44.6;31.7;30.6;38.4
6;2016;31.54317254;0.49;44.6;31.5;30.5;38.1
7;2016;31.43416681;0.53;44.5;31.4;30.3;37.8
8;2016;31.48498237;0.49;44.4;31.5;30.1;37.6
9;2016;31.45704649;0.3;44.2;31.5;30.0;37.3
10;2016;31.37542183;0.4;44.2;31.4;30.0;37.2
11;2016;31.27463588;0.38;44.1;31.3;30.1;37.3
12;2016;31.26452968;0.4;44.2;31.3;30.2;37.3
1;2017;31.30698464;0.43;44.6;31.3;30.3;37.3
2;2017;31.33541487;0.33;44.9;31.3;30.4;37.2
3;2017;31.36094286;0.25;45.3;31.4;30.5;37.3
4;2017;31.53401156;0.31;45.6;31.5;30.5;37.5
5;2017;31.72301931;0.18;45.9;31.7;30.5;37.8
6;2017;31.89940111;0.24;46.2;31.9;30.6;38.2
7;2017;31.89732553;0.19;46.0;31.9;30.7;38.4
8;2017;31.81566541;0.24;45.9;31.8;30.7;38.4
9;2017;31.68236067;0.26;45.9;31.7;30.6;38.2
10;2017;31.61005152;0.32;45.9;31.6;30.4;38.0
11;2017;31.60021405;0.19;46.0;31.6;30.5;37.9
12;2017;31.73598235;0.49;46.3;31.7;30.5;38.0
1;2018;31.97528819;0.19;46.7;32.0;30.6;37.8
2;2018;32.2547672;0.25;47.4;32.3;30.8;37.7
3;2018;32.51606412;0.19;47.8;32.5;31.0;37.8
4;2018;32.65622621;0.13;48.0;32.7;31.1;37.9
5;2018;32.69598147;0.21;48.1;32.7;31.1;37.9
6;2018;32.91671663;0.58;48.2;32.9;31.1;37.9
7;2018;33.11168655;0.36;48.4;33.1;31.2;37.8
8;2018;33.32023864;0.17;48.5;33.3;31.2;37.8
9;2018;33.31307676;0.36;48.9;33.3;30.9;36.6
10;2018;33.19023586;0.24;49.2;33.2;30.8;35.5
11;2018;33.08937586;0.07;49.6;33.1;30.7;34.5
12;2018;33.14845842;0.3;50.2;33.1;30.9;34.6
1;2019;33.34345164;0.43;50.8;33.3;31.0;34.7
2;2019;33.64136132;0.24;51.5;33.6;31.3;34.6
3;2019;33.92191379;0.37;51.8;33.9;31.5;34.6
4;2019;34.31854218;0.4;52.0;34.3;31.8;34.5
5;2019;34.60239177;0.18;52.2;34.6;32.0;34.6
6;2019;34.92572203;0.2;52.7;34.9;32.3;34.7
7;2019;35.11011363;0.24;53.1;35.1;32.7;35.1
8;2019;35.4042971;0.21;53.2;35.4;32.9;35.4
9;2019;35.68196067;0.08;53.6;35.7;33.1;35.6
10;2019;35.7810898;0.21;53.9;35.8;33.0;35.5
11;2019;35.84537282;0.44;53.9;35.8;33.0;35.4
12;2019;36.04345942;0.69;53.9;36.0;33.2;35.5
1;2020;36.28740016;0.31;53.8;36.3;33.3;35.6
2;2020;36.6118029;0.25;54.0;36.6;33.6;35.8
3;2020;37.05450171;0.12;54.8;37.1;33.9;36.4
4;2020;37.60441678;-0.06;55.8;37.6;34.3;36.8
5;2020;37.87130244;-0.06;56.2;37.9;34.4;37.0
6;2020;37.68476028;0.24;56.0;37.7;34.4;37.1
7;2020;37.15689003;0.17;55.6;37.2;34.2;37.3
8;2020;36.63065769;0.18;55.2;36.6;34.1;37.7
9;2020;36.36053098;0.21;54.7;36.4;34.0;38.0
10;2020;36.23251419;0.5;54.2;36.2;34.0;38.1
11;2020;36.24685779;0.55;53.9;36.2;33.9;38.2
12;2020;36.22464742;0.66;53.8;36.2;33.9;38.1
1;2021;36.17203756;0.48;53.6;36.2;33.9;37.9
2;2021;36.0488104;0.52;53.2;36.0;33.9;37.8
3;2021;35.94138712;0.53;52.8;35.9;33.9;37.8
4;2021;35.90798027;0.35;52.6;35.9;34.0;38.0
5;2021;35.87824551;0.57;52.1;35.9;34.0;38.1
6;2021;35.78138433;0.5;51.4;35.8;34.0;38.2
7;2021;35.73148239;0.6;50.9;35.7;34.0;38.3
8;2021;35.73099478;0.7;50.7;35.7;34.0;38.4
9;2021;35.81065912;0.67;50.8;35.8;34.1;38.5
10;2021;35.89030839;0.92;51.0;35.9;34.2;38.6
11;2021;36.00955179;0.71;51.2;36.0;34.4;38.8
12;2021;36.12662089;0.82;51.4;36.1;34.7;39.0
1;2022;36.27077119;0.89;51.7;36.3;35.0;39.2
2;2022;36.54748707;0.93;52.0;36.5;35.5;39.4
3;2022;36.94050039;0.97;52.5;36.9;36.0;39.9
4;2022;37.59979055;0.94;53.2;37.6;36.6;40.3
5;2022;38.50728697;0.86;54.1;38.5;37.2;40.6
6;2022;39.42016666;0.93;55.0;39.4;37.7;40.7
7;2022;40.32904237;0.41;55.7;40.3;38.0;40.7
8;2022;41.00158059;0.43;56.4;41.0;38.3;40.5
9;2022;41.47649006;0.21;57.0;41.5;38.7;40.4
10;2022;41.75888928;0.49;57.7;41.8;39.1;40.4
11;2022;41.89632741;0.34;58.3;41.9;39.4;40.6
12;2022;42.08448931;0.61;59.1;42.1;39.6;40.8
1;2023;42.26313483;0.66;59.8;42.3;39.8;41.3
2;2023;42.63410218;0.76;60.7;42.6;40.3;41.4
3;2023;43.2735886;0.44;61.5;43.3;40.9;41.5
4;2023;43.2735886;0.56;61.5;43.3;40.9;41.5
